Gene_ID,Chr,Testes_Specific,Ovaries_Specific,variable,value,Population
AGAP000291,X,-1,-1,I_mean_FPKM,24.36694287,I
AGAP000292,X,-1,-1,I_mean_FPKM,25.45484774,I
AGAP000293,X,-1,-1,I_mean_FPKM,0,I
AGAP000294,X,-1,-1,I_mean_FPKM,0,I
AGAP000295,X,-1,-1,I_mean_FPKM,0.075161576,I
AGAP000296,X,-1,-1,I_mean_FPKM,0.055245414,I
AGAP000297,X,-1,-1,I_mean_FPKM,0.247137334,I
AGAP000298,X,-1,-1,I_mean_FPKM,0,I
AGAP000299,X,-1,-1,I_mean_FPKM,0.289219297,I
AGAP000300,X,-1,-1,I_mean_FPKM,24.10903767,I
AGAP000301,X,,,I_mean_FPKM,0.027047764,I
AGAP000303,X,-1,-1,I_mean_FPKM,0.029818732,I
AGAP000304,X,-1,-1,I_mean_FPKM,9.623084655,I
AGAP000305,X,-1,-1,I_mean_FPKM,0.960792237,I
AGAP000306,X,-1,-1,I_mean_FPKM,0.784179385,I
AGAP000307,X,-1,-1,I_mean_FPKM,1.938952212,I
AGAP000308,X,-1,-1,I_mean_FPKM,150.3402769,I
AGAP000309,X,-1,-1,I_mean_FPKM,0.774205741,I
AGAP000310,X,-1,-1,I_mean_FPKM,104.95441,I
AGAP000311,X,-1,-1,I_mean_FPKM,0.224703862,I
AGAP000312,X,-1,-1,I_mean_FPKM,19.6111863,I
AGAP000313,X,-1,-1,I_mean_FPKM,0.117152015,I
AGAP000314,X,-1,-1,I_mean_FPKM,0.736391863,I
AGAP000315,X,-1,-1,I_mean_FPKM,0.034349224,I
AGAP000316,X,-1,-1,I_mean_FPKM,10.09759813,I
AGAP000317,X,-1,-1,I_mean_FPKM,0,I
AGAP000319,X,-1,-1,I_mean_FPKM,26.67563679,I
AGAP000320,X,-1,-1,I_mean_FPKM,78.41223911,I
AGAP000321,X,-1,-1,I_mean_FPKM,0.215385438,I
AGAP000322,X,-1,-1,I_mean_FPKM,36.52534872,I
AGAP000323,X,-1,-1,I_mean_FPKM,31.00045621,I
AGAP000324,X,-1,-1,I_mean_FPKM,9.281804964,I
AGAP000325,X,-1,-1,I_mean_FPKM,9.087448879,I
AGAP000326,X,-1,-1,I_mean_FPKM,6.979096122,I
